Kind,Name,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclFile,CountDeclFileCode,CountDeclFileHeader,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodConst,CountDeclMethodFriend,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountInput,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountOutput,CountPath,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,Knots,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxEssentialKnots,MaxInheritanceTree,MaxNesting,MinEssentialKnots,PercentLackOfCohesion,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential
File,"C:\6611\src\content\shell\renderer\test_runner\EventSender.cpp",1,13,1,208,1131,106,3,2,3,1,15,1,12,1,,,,3,,,,,,82,,,,,,,,,,,,,,1440,201,1034,230,675,96,75,43,,,615,832,211,0,621,,,,,,37,37,43,24,,,3,,,0.09,211,197,251,112
File,"C:\6611\src\content\shell\renderer\test_runner\KeyCodeMapping.cpp",3,206,97,8,210,100,1,1,1,1,210,0,4,0,,,,0,,,,,,1,,,,,,,,,,,,,,222,5,6,3,1,3,203,5,,,1,3,2,0,1,,,,,,1,1,1,1,,,0,,,0.50,1,1,1,1
File,"C:\6611\src\content\shell\renderer\test_runner\MockColorChooser.cpp",0,4,0,13,42,3,1,1,1,1,4,0,4,0,,,,1,,,,,,7,,,,,,,,,,,,,,58,13,39,21,5,3,0,3,,,10,21,14,0,7,,,,,,1,1,1,1,,,0,,,0.08,7,7,7,7
File,"C:\6611\src\content\shell\renderer\test_runner\MockConstraints.cpp",1,12,0,12,44,3,4,4,5,3,13,1,12,0,,,,0,,,,,,3,,,,,,,,,,,,,,59,12,41,11,21,3,0,3,,,18,32,10,0,22,,,,,,9,9,11,7,,,4,,,0.07,11,11,16,9
File,"C:\6611\src\content\shell\renderer\test_runner\MockGrammarCheck.cpp",1,34,3,8,44,6,4,4,4,1,38,1,34,3,,,,0,,,,,,1,,,,,,,,,,,,,,58,8,38,23,25,6,0,6,,,16,23,10,0,13,,,,,,4,4,4,1,,,2,,,0.16,4,4,4,1
File,"C:\6611\src\content\shell\renderer\test_runner\MockSpellCheck.cpp",2,14,4,28,123,33,3,3,3,1,20,2,14,4,,,,0,,,,,,8,,,,,,,,,,,,,,184,28,120,53,86,33,0,3,,,53,79,23,0,56,,,,,,8,8,10,6,,,3,,,0.28,23,23,26,13
File,"C:\6611\src\content\shell\renderer\test_runner\MockWebAudioDevice.cpp",0,3,0,9,21,4,1,1,1,1,3,0,3,0,,,,0,,,,,,5,,,,,,,,,,,,,,33,9,20,9,1,4,0,1,,,2,9,7,0,2,,,,,,1,1,1,1,,,0,,,0.20,5,5,5,5
File,"C:\6611\src\content\shell\renderer\test_runner\MockWebMIDIAccessor.cpp",0,5,0,13,41,6,1,1,1,1,5,0,5,0,,,,1,,,,,,5,,,,,,,,,,,,,,58,13,35,19,4,6,0,6,,,8,16,11,0,5,,,,,,1,1,1,1,,,0,,,0.17,5,5,5,5
File,"C:\6611\src\content\shell\renderer\test_runner\MockWebMediaStreamCenter.cpp",0,5,0,15,75,3,1,1,1,1,5,0,5,0,,,,1,,,,,,12,,,,,,,,,,,,,,93,15,66,22,27,3,0,9,,,32,50,22,0,28,,,,,,3,3,3,1,,,2,,,0.05,16,16,16,12
File,"C:\6611\src\content\shell\renderer\test_runner\MockWebRTCDTMFSenderHandler.cpp",0,6,0,16,53,4,1,1,2,1,6,0,6,0,,,,1,,,,,,7,,,,,,,,,,,,,,73,16,48,19,14,4,0,5,,,16,26,12,0,14,,,,,,2,2,4,1,,,1,,,0.08,8,8,11,7
